Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_P1_Test1	Ext_Rot_N_P1_Test2	Ext_Rot_N_P1_Test3	Ext_Rot_N_P2_Test1	Ext_Rot_N_P2_Test2	Ext_Rot_N_P2_Test3	Int_Rot_N_P1_Test1	Int_Rot_N_P1_Test2	Int_Rot_N_P1_Test3	Int_Rot_N_P2_Test1	Int_Rot_N_P2_Test2	Int_Rot_N_P2_Test3
MIV4	f	C1BJ	m	4Z5T	f	163,7	167,2	152,6	nan	nan	nan	173,2	183,3	196,6	nan	nan	nan
MLS0	f	HOLJ	m	RNV5	f	182,8	203,7	147,2	nan	nan	nan	303,8	268,5	264,2	nan	nan	nan
MLS0	f	RNV5	f	HOLJ	m	nan	nan	nan	92,5	86,3	73,4	nan	nan	nan	124,1	121,0	124,1
MXT3	m	8YYM	f	54W1	m	86,7	77,4	101,4	nan	nan	nan	93,4	109,8	105,8	nan	nan	nan
MXT3	m	8YYM	f	URX1	f	nan	nan	nan	90,3	100,9	74,7	nan	nan	nan	100,9	93,4	89,4
NE43	f	B01W	f	0W85	m	nan	nan	nan	104,5	104,1	93,4	nan	nan	nan	116,1	116,5	111,2
NE43	f	B01W	f	CV81	m	99,6	99,2	125,4	nan	nan	nan	129,0	121,9	130,3	nan	nan	nan
NUBL	f	CNRK	f	OELD	m	111,6	101,8	97,4	nan	nan	nan	137,4	131,2	133,9	nan	nan	nan
NUBL	f	OELD	m	CNRK	f	nan	nan	nan	206,4	207,7	208,2	nan	nan	nan	211,3	196,2	206,4
NYLS	m	AJT0	f	B1BU	f	nan	nan	nan	111,6	127,2	108,1	nan	nan	nan	178,4	162,1	153,0
NYLS	m	B1BU	f	AJT0	f	73,8	92,0	75,6	nan	nan	nan	113,0	129,4	109,0	nan	nan	nan
OELD	m	CNRK	f	NUBL	f	nan	nan	nan	105,4	101,8	97,4	nan	nan	nan	118,3	150,3	114,7
OELD	m	NUBL	f	CNRK	f	88,9	91,2	78,7	nan	nan	nan	102,7	96,9	101,4	nan	nan	nan
OW8O	f	Q80H	m	ESW0	f	148,1	151,2	158,8	nan	nan	nan	177,0	185,9	211,7	nan	nan	nan
OW8O	f	Q80H	m	R19W	m	nan	nan	nan	156,6	131,2	154,3	nan	nan	nan	218,0	201,1	228,6
