Pairing	Cycle	Test_Repetition	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N	Int_Rot_N	Ext_Rot_Order	Int_Rot_Order
Pairing 2	4	2	T0	8SUE	f	9EMF	f	C7WI	f	84,9	92,0	1	2
Pairing 2	7	3	T0	8SUE	f	9EMF	f	C7WI	f	80,9	109,0	1	2
Pairing 1	1	1	T0	8SUE	f	C7WI	f	9EMF	f	90,7	78,3	2	1
Pairing 1	4	2	T0	8SUE	f	C7WI	f	9EMF	f	83,6	109,8	2	1
Pairing 1	7	3	T0	8SUE	f	C7WI	f	9EMF	f	96,5	90,7	1	2
Pairing 1	1	1	V7	8YYM	f	54W1	m	URX1	f	175,2	195,3	2	1
Pairing 1	5	2	V7	8YYM	f	54W1	m	URX1	f	194,4	229,5	2	1
Pairing 1	9	3	V7	8YYM	f	54W1	m	URX1	f	184,6	213,1	2	1
Pairing 2	1	1	V7	8YYM	f	URX1	f	54W1	m	96,9	144,1	2	1
Pairing 2	5	2	V7	8YYM	f	URX1	f	54W1	m	83,2	121,0	2	1
Pairing 2	9	3	V7	8YYM	f	URX1	f	54W1	m	105,8	148,6	2	1
Pairing 2	3	1	G8	96H6	f	Q1CO	f	UQO6	f	98,7	135,2	1	2
Pairing 2	6	2	G8	96H6	f	Q1CO	f	UQO6	f	106,3	131,2	1	2
Pairing 2	9	3	G8	96H6	f	Q1CO	f	UQO6	f	107,6	147,2	1	2
Pairing 1	2	1	G8	96H6	f	UQO6	f	Q1CO	f	103,6	149,9	2	1
Pairing 1	5	2	G8	96H6	f	UQO6	f	Q1CO	f	109,9	125,9	2	1
Pairing 1	8	3	G8	96H6	f	UQO6	f	Q1CO	f	113,4	133,0	2	1
Pairing 1	3	1	T0	9EMF	f	8SUE	f	C7WI	f	112,5	122,3	2	1
Pairing 1	6	2	T0	9EMF	f	8SUE	f	C7WI	f	98,7	139,7	1	2
Pairing 1	9	3	T0	9EMF	f	8SUE	f	C7WI	f	94,7	134,8	2	1
Pairing 2	2	1	T0	9EMF	f	C7WI	f	8SUE	f	77,8	101,8	1	2
Pairing 2	5	2	T0	9EMF	f	C7WI	f	8SUE	f	72,9	101,8	2	1
Pairing 2	8	3	T0	9EMF	f	C7WI	f	8SUE	f	76,0	90,3	2	1
Pairing 1	4	1	T0	9EOO	f	XO3D	m	9OIM	f	196,6	214,0	1	2
Pairing 1	8	2	T0	9EOO	f	XO3D	m	9OIM	f	171,7	196,6	2	1
Pairing 1	12	3	T0	9EOO	f	XO3D	m	9OIM	f	167,2	205,5	1	2
Pairing 2	4	1	T0	9EOO	f	XO3D	m	E8FP	m	121,9	158,5	1	2
Pairing 2	8	2	T0	9EOO	f	XO3D	m	E8FP	m	134,2	162,4	2	1
Pairing 2	12	3	T0	9EOO	f	XO3D	m	E8FP	m	142,0	162,1	2	1
Pairing 2	2	1	L3	9ID0	f	0PVW	f	LB1H	f	123,6	135,7	2	1
Pairing 2	6	2	L3	9ID0	f	0PVW	f	LB1H	f	138,3	130,8	2	1
Pairing 2	10	3	L3	9ID0	f	0PVW	f	LB1H	f	112,5	117,4	1	2
Pairing 1	3	1	L3	9ID0	f	LB1H	f	MCAO	f	114,0	126,0	2	1
Pairing 1	7	2	L3	9ID0	f	LB1H	f	MCAO	f	113,4	115,2	1	2
Pairing 1	11	3	L3	9ID0	f	LB1H	f	MCAO	f	109,8	118,7	1	2
Pairing 1	2	1	8J	9MJ0	f	J8KP	f	ZQBM	m	76,9	91,2	2	1
Pairing 1	6	2	8J	9MJ0	f	J8KP	f	ZQBM	m	70,7	88,5	1	2
Pairing 1	10	3	8J	9MJ0	f	J8KP	f	ZQBM	m	85,4	96,5	2	1
Pairing 2	3	1	T0	9OIM	f	9EOO	f	XO3D	m	85,8	137,0	2	1
Pairing 2	7	2	T0	9OIM	f	9EOO	f	XO3D	m	77,4	117,0	2	1
Pairing 2	11	3	T0	9OIM	f	9EOO	f	XO3D	m	70,3	112,8	1	2
Pairing 1	2	1	T0	9OIM	f	E8FP	m	9EOO	f	169,5	191,7	2	1
Pairing 1	6	2	T0	9OIM	f	E8FP	m	9EOO	f	176,6	177,9	2	1
Pairing 1	10	3	T0	9OIM	f	E8FP	m	9EOO	f	174,0	169,0	1	2
Pairing 2	3	1	G8	AJT0	f	B1BU	f	NYLS	m	108,5	128,1	2	1
Pairing 2	6	2	G8	AJT0	f	B1BU	f	NYLS	m	85,8	116,5	1	2
Pairing 2	9	3	G8	AJT0	f	B1BU	f	NYLS	m	108,1	113,9	1	2
Pairing 1	2	1	G8	AJT0	f	NYLS	m	B1BU	f	167,7	193,9	2	1
Pairing 1	5	2	G8	AJT0	f	NYLS	m	B1BU	f	176,6	224,2	1	2
Pairing 1	8	3	G8	AJT0	f	NYLS	m	B1BU	f	169,5	193,9	2	1
Pairing 2	1	1	M1	B01W	f	0W85	m	CV81	m	213,1	219,3	2	1
Pairing 2	5	2	M1	B01W	f	0W85	m	CV81	m	225,1	244,2	2	1
Pairing 2	9	3	M1	B01W	f	0W85	m	CV81	m	207,3	207,7	1	2
Pairing 1	1	1	M1	B01W	f	CV81	m	0W85	m	181,0	168,1	2	1
Pairing 1	5	2	M1	B01W	f	CV81	m	0W85	m	152,1	186,4	2	1
Pairing 1	9	3	M1	B01W	f	CV81	m	0W85	m	144,5	173,0	2	1
Pairing 1	1	1	G8	B1BU	f	AJT0	f	NYLS	m	115,6	169,5	1	2
Pairing 1	4	2	G8	B1BU	f	AJT0	f	NYLS	m	111,0	130,0	1	2
Pairing 1	7	3	G8	B1BU	f	AJT0	f	NYLS	m	119,2	125,0	2	1
Pairing 2	1	1	G8	B1BU	f	NYLS	m	AJT0	f	167,7	166,4	2	1
Pairing 2	4	2	G8	B1BU	f	NYLS	m	AJT0	f	150,8	171,7	2	1
Pairing 2	7	3	G8	B1BU	f	NYLS	m	AJT0	f	161,9	180,1	2	1
Pairing 2	4	1	V7	C0YZ	m	7847	f	GONF	f	137,4	178,4	2	1
Pairing 2	8	2	V7	C0YZ	m	7847	f	GONF	f	168,1	166,4	1	2
Pairing 2	12	3	V7	C0YZ	m	7847	f	GONF	f	138,3	176,1	2	1
Pairing 1	4	1	V7	C0YZ	m	7847	f	U24Z	f	144,1	173,0	1	2
Pairing 1	8	2	V7	C0YZ	m	7847	f	U24Z	f	154,8	197,9	2	1
Pairing 1	12	3	V7	C0YZ	m	7847	f	U24Z	f	137,9	183,3	2	1
Pairing 1	3	1	8J	C1BJ	m	4Z5T	f	MIV4	f	117,0	154,3	2	1
Pairing 1	6	2	8J	C1BJ	m	4Z5T	f	MIV4	f	131,2	151,7	2	1
Pairing 1	9	3	8J	C1BJ	m	4Z5T	f	MIV4	f	123,2	146,3	1	2
Pairing 2	2	1	8J	C1BJ	m	MIV4	f	4Z5T	f	95,2	97,4	1	2
Pairing 2	5	2	8J	C1BJ	m	MIV4	f	4Z5T	f	89,6	98,7	1	2
Pairing 2	8	3	8J	C1BJ	m	MIV4	f	4Z5T	f	83,6	115,2	1	2
Pairing 2	3	1	T0	C7WI	f	8SUE	f	9EMF	f	86,7	120,1	1	2
Pairing 2	6	2	T0	C7WI	f	8SUE	f	9EMF	f	84,0	109,0	1	2
Pairing 2	9	3	T0	C7WI	f	8SUE	f	9EMF	f	79,6	125,4	2	1
Pairing 1	2	1	T0	C7WI	f	9EMF	f	8SUE	f	88,5	82,7	2	1
Pairing 1	5	2	T0	C7WI	f	9EMF	f	8SUE	f	84,5	100,9	1	2
Pairing 1	8	3	T0	C7WI	f	9EMF	f	8SUE	f	79,1	107,6	2	1
Pairing 2	2	1	Y7	C9OV	m	2AI2	m	SBL6	f	139,2	211,3	1	2
Pairing 2	6	2	Y7	C9OV	m	2AI2	m	SBL6	f	131,6	201,9	2	1
Pairing 2	10	3	Y7	C9OV	m	2AI2	m	SBL6	f	174,4	215,3	1	2
Pairing 1	3	1	Y7	C9OV	m	SBL6	f	7IJJ	f	67,5	143,0	1	2
Pairing 1	7	2	Y7	C9OV	m	SBL6	f	7IJJ	f	88,0	150,0	1	2
Pairing 1	11	3	Y7	C9OV	m	SBL6	f	7IJJ	f	104,1	134,3	2	1
Pairing 1	2	1	V7	C9QY	f	0G2E	f	GWZ3	f	125,9	160,6	1	2
Pairing 1	6	2	V7	C9QY	f	0G2E	f	GWZ3	f	110,3	177,0	1	2
Pairing 1	10	3	V7	C9QY	f	0G2E	f	GWZ3	f	128,5	111,2	2	1
Pairing 2	3	1	V7	C9QY	f	GWZ3	f	IWEV	m	127,6	131,2	2	1
Pairing 2	7	2	V7	C9QY	f	GWZ3	f	IWEV	m	142,8	147,2	2	1
Pairing 2	11	3	V7	C9QY	f	GWZ3	f	IWEV	m	116,5	146,8	1	2
Pairing 2	3	1	8J	CNRK	f	NUBL	f	OELD	m	90,3	110,7	2	1
Pairing 2	6	2	8J	CNRK	f	NUBL	f	OELD	m	74,7	88,5	2	1
Pairing 2	9	3	8J	CNRK	f	NUBL	f	OELD	m	73,8	114,3	1	2
Pairing 1	2	1	8J	CNRK	f	OELD	m	NUBL	f	198,4	273,4	2	1
Pairing 1	5	2	8J	CNRK	f	OELD	m	NUBL	f	220,6	267,8	1	2
Pairing 1	8	3	8J	CNRK	f	OELD	m	NUBL	f	238,0	240,2	2	1
Pairing 1	2	1	M1	CV81	m	0W85	m	NE43	f	218,4	258,0	1	2
Pairing 1	6	2	M1	CV81	m	0W85	m	NE43	f	245,0	225,1	1	2
Pairing 1	10	3	M1	CV81	m	0W85	m	NE43	f	220,6	206,4	1	2
Pairing 2	3	1	M1	CV81	m	NE43	f	B01W	f	121,0	110,3	1	2
Pairing 2	7	2	M1	CV81	m	NE43	f	B01W	f	123,6	125,0	2	1
Pairing 2	11	3	M1	CV81	m	NE43	f	B01W	f	132,1	131,2	2	1
Pairing 1	3	1	V7	D63N	m	FOEB	m	71G1	m	165,0	293,6	2	1
Pairing 1	7	2	V7	D63N	m	FOEB	m	71G1	m	141,0	223,2	1	2
Pairing 1	11	3	V7	D63N	m	FOEB	m	71G1	m	156,1	240,7	1	2
Pairing 2	2	1	V7	D63N	m	QUVC	f	FOEB	m	119,6	148,6	1	2
Pairing 2	6	2	V7	D63N	m	QUVC	f	FOEB	m	94,7	148,6	1	2
Pairing 2	10	3	V7	D63N	m	QUVC	f	FOEB	m	105,9	157,9	2	1
Pairing 1	4	1	M1	DM6E	f	MLS0	f	HOLJ	m	145,0	139,7	2	1
Pairing 1	8	2	M1	DM6E	f	MLS0	f	HOLJ	m	150,8	109,4	1	2
Pairing 1	12	3	M1	DM6E	f	MLS0	f	HOLJ	m	152,1	117,9	2	1
Pairing 2	4	1	M1	DM6E	f	MLS0	f	RNV5	f	154,3	111,6	2	1
Pairing 2	8	2	M1	DM6E	f	MLS0	f	RNV5	f	153,0	130,8	2	1
Pairing 2	12	3	M1	DM6E	f	MLS0	f	RNV5	f	149,0	113,4	1	2
Pairing 1	1	1	L3	DPOA	m	GX1C	m	P2TB	m	152,1	155,2	1	2
Pairing 1	4	2	L3	DPOA	m	GX1C	m	P2TB	m	146,3	157,0	2	1
Pairing 1	7	3	L3	DPOA	m	GX1C	m	P2TB	m	112,1	142,3	1	2
Pairing 2	1	1	L3	DPOA	m	P2TB	m	GX1C	m	92,5	110,3	1	2
Pairing 2	4	2	L3	DPOA	m	P2TB	m	GX1C	m	126,3	103,2	1	2
Pairing 2	7	3	L3	DPOA	m	P2TB	m	GX1C	m	149,0	159,2	1	2
Pairing 2	1	1	G8	DQDJ	m	8LNG	m	WYMH	f	187,7	190,0	1	2
Pairing 2	2	2	G8	DQDJ	m	8LNG	m	WYMH	f	150,0	178,4	1	2
Pairing 2	6	3	G8	DQDJ	m	8LNG	m	WYMH	f	155,4	165,0	1	2
Pairing 1	3	1	T0	E8FP	m	9EOO	f	XO3D	m	103,2	127,6	2	1
Pairing 1	7	2	T0	E8FP	m	9EOO	f	XO3D	m	109,0	106,7	1	2
Pairing 1	11	3	T0	E8FP	m	9EOO	f	XO3D	m	88,9	105,8	1	2
Pairing 2	2	1	T0	E8FP	m	9OIM	f	9EOO	f	100,0	91,6	1	2
Pairing 2	6	2	T0	E8FP	m	9OIM	f	9EOO	f	130,0	160,5	1	2
