Pairing	Group	Tester	Tester_Gender	Testee	Testee_Gender	Logger	Logger_Gender	Ext_Rot_N_Test1	Ext_Rot_N_Test2	Ext_Rot_N_Test3	Int_Rot_N_Test1	Int_Rot_N_Test2	Int_Rot_N_Test3
Pairing 1	V7	GWZ3	f	IWEV	m	C9QY	f	127,2	146,3	147,2	149,9	149,0	170,4
Pairing 1	V7	IWEV	m	C9QY	f	0G2E	f	85,4	87,6	83,2	83,6	133,4	103,6
Pairing 1	V7	MXT3	m	8YYM	f	54W1	m	86,7	77,4	101,4	93,4	109,8	105,8
Pairing 1	V7	QUVC	f	D63N	m	FOEB	m	173,5	151,2	156,1	236,6	261,1	248,2
Pairing 1	V7	U24Z	f	GONF	f	C0YZ	m	82,7	84,5	82,3	139,7	107,6	132,1
Pairing 1	V7	URX1	f	MXT3	m	8YYM	f	153,0	148,6	153,0	200,6	230,0	229,1
Pairing 1	Y7	2AI2	m	C9OV	m	SBL6	f	171,2	155,7	240,2	279,35	280,7	278,0
Pairing 1	Y7	2TT1	f	7J9M	f	EQY3	f	99,0	100,0	117,0	130,0	139,0	147,0
Pairing 1	Y7	6QVB	f	L07I	f	G5QJ	f	95,6	92,0	92,0	110,3	97,8	112,5
Pairing 1	Y7	7IJJ	f	2AI2	m	C9OV	m	204,0	146,3	131,6	327,0	256,7	227,3
Pairing 1	Y7	7J9M	f	EQY3	f	FW51	m	114,0	114,0	115,0	141,0	155,0	155,0
Pairing 1	Y7	C9OV	m	SBL6	f	7IJJ	f	67,5	88,0	104,1	143,0	150,0	134,3
Pairing 1	Y7	EQY3	f	FW51	m	2TT1	f	167,0	169,0	175,0	224,0	234,0	186,0
Pairing 1	Y7	FW51	m	2TT1	f	7J9M	f	94,0	99,0	101,0	105,0	127,0	146,0
Pairing 1	Y7	G5QJ	f	PBAN	f	6QVB	f	105,4	95,6	94,7	129,5	127,2	130,8
Pairing 1	Y7	HURM	m	I22H	f	YX6H	f	81,0	89,0	98,0	121,0	112,0	137,0
Pairing 1	Y7	I22H	f	YX6H	f	HURM	m	74,0	77,0	78,0	103,0	93,0	111,0
Pairing 1	Y7	L07I	f	G5QJ	f	PBAN	f	102,7	123,6	123,6	148,6	126,3	115,6
Pairing 1	Y7	PBAN	f	6QVB	f	L07I	f	91,6	89,8	99,2	112,5	113,9	119,2
Pairing 1	Y7	SBL6	f	7IJJ	f	2AI2	m	96,5	125,0	115,6	154,6	179,3	130,3
Pairing 1	Y7	YX6H	f	HURM	m	I22H	f	176,0	189,0	199,0	218,0	271,0	197,0
Pairing 2	8J	2ABW	f	VOFU	m	FV50	m	185,5	184,6	155,7	186,4	249,6	251,8
Pairing 2	8J	4Z5T	f	C1BJ	m	MIV4	f	158,8	162,3	152,1	198,8	206,4	187,3
Pairing 2	8J	C1BJ	m	MIV4	f	4Z5T	f	95,2	89,6	83,6	97,4	98,7	115,2
Pairing 2	8J	CNRK	f	NUBL	f	OELD	m	90,3	74,7	73,8	110,7	88,5	114,3
Pairing 2	8J	FDHE	m	J8KP	f	9MJ0	f	72,0	85,0	90,3	93,0	87,6	89,8
Pairing 2	8J	FV50	m	2ABW	f	VOFU	m	98,3	102,7	104,3	94,3	115,6	117,0
Pairing 2	8J	J8KP	f	9MJ0	f	ZQBM	m	99,2	91,6	91,6	113,0	122,7	101,4
Pairing 2	8J	MIV4	f	4Z5T	f	C1BJ	m	136,5	138,3	113,9	124,1	134,8	132,1
Pairing 2	8J	NUBL	f	OELD	m	CNRK	f	206,4	207,7	208,2	211,3	196,2	206,4
Pairing 2	8J	OELD	m	CNRK	f	NUBL	f	105,4	101,8	97,4	118,3	150,3	114,7
Pairing 2	8J	VOFU	m	FV50	m	2ABW	f	146,3	149,9	214,8	203,3	218,4	250,0
Pairing 2	8J	ZQBM	m	FDHE	m	J8KP	f	149,0	153,0	154,3	171,2	162,3	171,7
Pairing 2	G8	2BW9	f	PIGD	m	W7B5	f	134,3	127,6	112,1	203,7	205,5	229,1
Pairing 2	G8	96H6	f	Q1CO	f	UQO6	f	98,7	106,3	107,6	135,2	131,2	147,2
Pairing 2	G8	AJT0	f	B1BU	f	NYLS	m	108,5	85,8	108,1	128,1	116,5	113,9
Pairing 2	G8	B1BU	f	NYLS	m	AJT0	f	167,7	150,8	161,9	166,4	171,7	180,1
Pairing 2	G8	DQDJ	m	8LNG	m	WYMH	f	187,7	150,0	155,4	190,0	178,4	165,0
Pairing 2	G8	NYLS	m	AJT0	f	B1BU	f	111,6	127,2	108,1	178,4	162,1	153,0
Pairing 2	G8	PIGD	m	W7B5	f	QDH7	m	78,7	80,0	89,4	93,8	109,0	99,2
Pairing 2	G8	Q1CO	f	UQO6	f	96H6	f	103,6	112,1	109,0	124,1	143,2	130,8
Pairing 2	G8	QDH7	m	2BW9	f	PIGD	m	100,9	93,4	106,3	145,0	127,2	138,3
Pairing 2	G8	UQO6	f	96H6	f	Q1CO	f	101,8	96,1	97,4	140,5	127,6	127,2
Pairing 2	G8	W7B5	f	QDH7	m	2BW9	f	224,2	210,0	221,1	244,2	297,2	331,0
Pairing 2	L3	0PVW	f	LB1H	f	MCAO	f	117,9	116,1	106,3	121,9	122,7	131,6
Pairing 2	L3	3DSL	f	IFBB	f	LH1H	m	145,9	136,5	119,6	114,7	137,4	125,4
Pairing 2	L3	9ID0	f	0PVW	f	LB1H	f	123,6	138,3	112,5	135,7	130,8	117,4
Pairing 2	L3	DPOA	m	P2TB	m	GX1C	m	92,5	126,3	149,0	110,3	103,2	159,2
Pairing 2	L3	ET9A	f	STFF	f	SYLZ	f	133,4	121,9	133,0	143,7	145,0	134,8
Pairing 2	L3	GX1C	m	DPOA	m	P2TB	m	137,0	125,0	141,9	134,3	110,7	188,6
Pairing 2	L3	IFBB	f	LH1H	m	3DSL	f	154,8	124,1	126,8	147,2	145,0	134,3
Pairing 2	L3	LB1H	f	MCAO	f	9ID0	f	136,1	119,2	131,6	150,8	138,3	153,4
Pairing 2	L3	LH1H	m	3DSL	f	IFBB	f	110,7	136,1	111,2	104,1	167,2	173,5
Pairing 2	L3	MCAO	f	9ID0	f	0PVW	f	168,6	155,7	163,2	179,3	180,6	177,0
Pairing 2	L3	P2TB	m	GX1C	m	DPOA	m	92,1	142,3	186,4	180,1	184,6	344,3
Pairing 2	L3	STFF	f	SYLZ	f	ET9A	f	102,7	110,7	99,6	128,5	109,4	128,1
Pairing 2	L3	SYLZ	f	ET9A	f	STFF	f	104,5	107,6	100,9	133,4	128,1	124,5
Pairing 2	M1	0W85	m	CV81	m	NE43	f	149,0	154,3	146,3	177,5	156,1	165,9
Pairing 2	M1	B01W	f	0W85	m	CV81	m	213,1	225,1	207,3	219,3	244,2	207,7
Pairing 2	M1	CV81	m	NE43	f	B01W	f	121,0	123,6	132,1	110,3	125,0	131,2
Pairing 2	M1	DM6E	f	MLS0	f	RNV5	f	154,3	153,0	149,0	111,6	130,8	113,4
Pairing 2	M1	ESW0	f	OW8O	f	Q80H	m	153,9	156,6	179,7	205,5	203,3	198,4
Pairing 2	M1	HOLJ	m	DM6E	f	MLS0	f	146,8	143,7	149,4	154,8	137,9	160,0
